"genre"	"y1945"	"y1946"	"y1947"	"y1948"	"y1949"	"y1950"	"y1951"	"y1952"	"y1953"	"y1954"	"y1955"	"y1956"	"y1957"	"y1958"	"y1959"	"y1960"	"y1961"	"y1962"	"y1963"	"y1964"	"y1965"	"y1966"	"y1967"	"y1968"	"y1969"	"y1970"	"y1971"	"y1972"	"y1973"	"y1974"	"y1975"	"y1976"	"y1977"	"y1978"	"y1979"	"y1980"	"y1981"	"y1982"	"y1983"	"y1984"	"y1985"	"y1986"	"y1987"	"y1988"	"y1989"	"y1990"	"y1991"	"y1992"	"y1993"	"y1994"	"y1995"	"y1996"	"y1997"	"y1998"	"y1999"	"y2000"	"y2001"	"y2002"	"y2003"	"y2004"	"y2005"	"y2006"	"y2007"	"y2008"	"y2009"	"y2010"	"y2011"	"y2012"	"y2013"	"y2014"	"y2015"	"y2016"	"y2017"	"y2018"	"y2019"	"y2020"	"y2021"
"Action,Adventure,Family"	0	0	0	0	2	4	13	21	39	17	17	39	51	64	32	23	2	13	52	51	12	0	0	4	26	116	12	0	26	0	4	2	13	49	21	0	105	3	2	7	2	17	15	3	13	10	25	55	166	150	221	164	187	121	138	268	350	90	80	257	327	314	61	50	214	60	62	54	205	149	253	312	302	181	37	43	28
"Adventure,Game-Show,Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	41	84	85	123	152	151	211	268	141	201	185	268	313	256	192	153	110	137	169	190	440	840	467	236	351
"News,Sport"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	93	0	20	27	32	33	33	34	30	32	33	31	33	33	31	35	31	35	33	31	34	29	27	13	5	1	5	3	0	4	18	30	49	46	42	46	68	98	82	214	241	260	194	143	68	145	53	64	159	108	195	337	236	165	111	256	77	99	462	620
"Crime,Reality-TV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	11	3	3	4	15	38	20	5	9	22	12	92	256	310	346	408	471	386	383	404	334	399	417	400	245	142
"Reality-TV,Romance"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	190	184	192	197	200	184	78	195	205	200	125	0	0	0	0	0	0	0	10	93	71	138	106	123	153	91	127	139	107	81	170	108	158	203	177	294	306	271
"Documentary,Music"	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	12	0	2	10	6	17	69	57	16	22	18	13	2	17	29	30	29	1	6	13	22	28	2	14	70	12	22	20	33	44	42	40	74	71	99	66	103	133	117	158	166	298	224	188	199	179	135	140	119	158	140	190	132	195	128	182	181	265	136
"Drama,Thriller"	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	12	0	24	5	18	13	0	6	8	6	3	5	0	0	0	3	20	4	0	18	10	0	3	11	35	5	8	7	12	36	47	48	6	6	0	12	0	7	23	20	34	117	164	30	28	32	140	90	38	94	376	122	192	364	374	530	336	285	600	501
"Family,Music"	0	0	0	0	6	92	84	48	49	38	48	82	131	177	176	131	95	106	74	76	88	60	113	118	65	90	88	47	51	69	44	222	48	53	47	40	61	39	34	29	43	39	73	94	170	54	61	41	41	46	30	11	35	6	36	12	102	92	84	73	81	51	65	44	70	102	69	96	60	59	72	39	56	22	23	3	4
"Comedy,Crime"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	4	1	0	7	6	0	10	6	8	16	6	9	78	17	15	13	5	20	13	1	14	26	4	9	21	22	11	10	22	25	0	37	26	59	38	59	54	21	56	40	84	132	67	109	98	103	74	80	84	119	146	151	244	334	248	369	419	565	369	260
"Other"	52	7	0	18	181	361	458	444	491	668	724	1025	1286	1362	1172	1217	1130	1144	1258	1102	1309	1765	1816	1704	1635	1860	1441	1484	2148	2152	1691	2394	1833	1955	2064	1832	1762	2000	2444	2357	2155	2314	2730	2926	3786	4119	3996	4431	3868	4318	4639	5214	5922	5759	5929	6262	7854	7364	8155	9165	11554	14278	13927	14417	15427	16562	18846	20904	22858	25780	27362	28785	30184	28743	28468	26520	19737
