"","country","population","continent","lat","long","percentage","text_size","circle_size","population_percentage","population_millions","adjusted_long","adjusted_lat"
"25","Bosnia and Herzegovina",3210847,"Europe",44,18,0.0401698504583051,0.0214239202444294,0.0321358803666441,0.0401698504583051,3.210847,18,44
"26","Botswana",2675352,"Africa",-22,24,0.0334704486894977,0.0178509059677321,0.0267763589515981,0.0334704486894977,2.675352,24,-22
"27","Brazil",216422446,"South America",-10,-55,2.70759001959315,2.70759001959315,4.06138502938973,2.70759001959315,216.422446,-57,-13
"28","British Virgin Islands",31538,"North America",18.5,-64.5,0.00039456154209591,0.000210432822451152,0.000315649233676728,0.00039456154209591,0.031538,-64.5,18.5
"29","Brunei Darussalam",452524,"Asia",4.5,114.67,0.00566137888500886,0.00301940207200473,0.00452910310800709,0.00566137888500886,0.452524,114.67,4.5
"30","Bulgaria",6430370,"Europe",43,25,0.0804482434982331,0.0429057298657243,0.0643585947985865,0.0804482434982331,6.43037,25,43
"31","Burkina Faso",23251485,"Africa",13,-2,0.290891679168619,0.15514222888993,0.232713343334896,0.290891679168619,23.251485,-2,13
"32","Burundi",13238559,"Africa",-3.5,30,0.165623256204188,0.0883324033089004,0.132498604963351,0.165623256204188,13.238559,30,-3.5
"33","Cabo Verde",598682,"Africa",16,-24,0.00748991353748061,0.00399462055332299,0.00599193082998449,0.00748991353748061,0.598682,-24,16
"34","Cambodia",16944826,"Asia",13,105,0.211991143290851,0.113061943088454,0.169592914632681,0.211991143290851,16.944826,105,13
"35","Cameroon",28647293,"Africa",6,12,0.358396857852539,0.191144990854687,0.286717486282031,0.358396857852539,28.647293,12,6
"36","Canada",40097761,"North America",60,-95,0.501649895832115,0.267546611110461,0.401319916665692,0.501649895832115,40.097761,-95,60
"37","Cayman Islands",69310,"North America",19.5,-80.5,0.000867114607225173,0.000462461123853426,0.000693691685780139,0.000867114607225173,0.06931,-80.5,19.5
"38","Central African Republic",5742315,"Africa",7,21,0.0718402137611921,0.0383147806726358,0.0574721710089536,0.0718402137611921,5.742315,21,7
"39","Chad",18278568,"Africa",15,19,0.228677150655874,0.121961147016466,0.182941720524699,0.228677150655874,18.278568,19,15
"40","Chile",19629590,"South America",-30,-71,0.24557934241583,0.130975649288443,0.196463473932664,0.24557934241583,19.62959,-71,-30
"41","China",1410710000,"Asia",35,105,17.6489286907896,17.6489286907896,26.4733930361843,17.6489286907896,1410.71,110,38
"42","Colombia",52085168,"South America",4,-72,0.651620400989427,0.347530880527694,0.521296320791541,0.651620400989427,52.085168,-72,4
"43","Comoros",852075,"Africa",-12.17,44.25,0.0106600299949703,0.00568534933065081,0.00852802399597622,0.0106600299949703,0.852075,44.25,-12.17
