"","country","population","continent","lat","long","percentage","text_size","circle_size","population_percentage","population_millions","adjusted_long","adjusted_lat"
"200","Turks and Caicos Islands",46062,"North America",21.75,-71.58,0.000576266527745,0.000307342148130667,0.000461013222196,0.000576266527745,0.046062,-71.58,21.75
"201","Tuvalu",11396,"Oceania",-8,178,0.000142571606751379,0.0000760381902674021,0.000114057285401103,0.000142571606751379,0.011396,178,-8
"202","Uganda",48582334,"Africa",1,32,0.607797597236938,0.324158718526367,0.486238077789551,0.607797597236938,48.582334,32,1
"203","Ukraine",37000000,"Europe",49,32,0.462894827114867,0.246877241127929,0.370315861691893,0.462894827114867,37,32,49
"204","United Arab Emirates",9516871,"Asia",24,54,0.119062442059986,0.0634999690986593,0.095249953647989,0.119062442059986,9.516871,54,24
"205","United Kingdom",68350000,"Europe",54,-2,0.855104363062193,0.456055660299836,0.684083490449754,0.855104363062193,68.35,-2,54
"206","United States",334914895,"North America",38,-97,4.19001006538429,2.23467203487162,3.35200805230743,4.19001006538429,334.914895,-97,38
"207","Uruguay",3423108,"South America",-33,-56,0.0428253779960951,0.0228402015979174,0.0342603023968761,0.0428253779960951,3.423108,-56,-33
"208","Uzbekistan",36412350,"Asia",41,64,0.455542931299892,0.242956230026609,0.364434345039914,0.455542931299892,36.41235,64,41
"209","Vanuatu",334506,"Oceania",-16,167,0.00418489451456448,0.00223194374110105,0.00334791561165158,0.00418489451456448,0.334506,167,-16
"210","Venezuela, RB",28838499,"South America",8,-66,0.360788973212358,0.192420785713258,0.288631178569887,0.360788973212358,28.838499,-66,8
"211","Viet Nam",98858950,"Asia",16,106,1.23679179916236,0.659622292886591,0.989433439329887,1.23679179916236,98.85895,106,16
"212","Virgin Islands (U.S.)",104917,"North America",18.33,-64.83,0.00131258206963272,0.000700043770470782,0.00105006565570617,0.00131258206963272,0.104917,-64.83,18.33
"213","West Bank and Gaza",5165775,"Asia",32,35.25,0.0646273115010622,0.0344678994672332,0.0517018492008497,0.0646273115010622,5.165775,35.25,32
"214","Yemen, Rep.",34449825,"Africa",15,48,0.430990426689525,0.22986156090108,0.34479234135162,0.430990426689525,34.449825,48,15
"215","Zambia",20569737,"Africa",-15,30,0.257341212227386,0.137248646521272,0.205872969781909,0.257341212227386,20.569737,30,-15
"216","Zimbabwe",16665409,"Africa",-20,30,0.208495449131177,0.111197572869961,0.166796359304942,0.208495449131177,16.665409,30,-20
