launch_year,agency,state_code,category,agency_type
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2012,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2013,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2014,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2015,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2016,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2017,AE,F,O,private
2018,AE,F,O,private
2018,AE,F,O,private
2018,AE,F,O,private
2018,AE,F,O,private
2018,AE,F,O,private
2018,AE,F,O,private
1985,AE,F,F,private
1986,AE,F,F,private
1990,AE,F,F,private
1994,AE,F,F,private
1994,AE,F,F,private
2002,AE,F,F,private
1997,BR,BR,F,state
1999,BR,BR,F,state
1992,US,US,O,state
1994,US,US,O,state
