war_name,war_deaths_low,war_deaths_high,civil_war,midpoint,region
Saudi-Yemeni War,2100,2100,Interstate war,1934,North Africa and Middle East
Afghan-Persian War,2100,2100,Interstate war,1837,Asia
Tibet-Nepalese War,2092,2420,Interstate war,1855.5,Asia
Franco-Turkish War,2083,5379,Interstate war,1920,North Africa and Middle East
Second Chinese Revolution,2050,4300,Civil war,1913,Asia
Second Egba-Dahomey War,2040,7050,Interstate war,1864,Sub-Saharan Africa
Mahdi-Egyptian War,2039,3148,Interstate war,1889,North Africa and Middle East
Brazilian War of Independence,2000,2000,Civil war,1822.5,Americas
Ninth Cape Frontier War,1950,3880,Interstate war,1877.5,Sub-Saharan Africa
Second Taiwan Strait Crisis,1860,2667,Interstate war,1956,Asia
First Sino-Tibet War,1800,6000,Interstate war,1912.5,Asia
Xinhai Revolution,1800,2800,Civil war,1911,Asia
Fourth Dominican War,1795,2800,Interstate war,1855.5,Americas
Two Sicilies Insurrection,1785,6000,Interstate war,1860,Europe
War of Attrition,1744,6424,Interstate war,1969.5,North Africa and Middle East
Third and Fourth Central American War,1700,3100,Interstate war,1906.5,Americas
La Plata War,1700,2800,Interstate war,1851.5,Americas
Uganda-Tanzania War,1696,1696,Interstate war,1978.5,Sub-Saharan Africa
Central American National War,1550,2450,Interstate war,1856.5,Americas
Ecuadorian War of Independence,1528,1528,Civil war,1821.5,Americas
Kosovo War,1502,1502,Civil war,1999,Europe
Turko-Cypriot War,1500,5800,Civil war,1974,Europe
Second Sino-Tibet War,1500,1500,Interstate war,1918,Asia
Texas Revolution,1493,2378,Civil war,1835.5,Americas
Central American War,1456,2231,Interstate war,1863,Americas
Neapolitan War,1426,1426,Interstate war,1815,Europe
Gurkha War,1400,3830,Interstate war,1815,Asia
Iraq-Kuwait War,1400,1400,Interstate war,1990,North Africa and Middle East
Tukolor-Tamba War,1400,1400,Interstate war,1852.5,Sub-Saharan Africa
Hejaz War,1350,1650,Interstate war,1922,North Africa and Middle East
Aceh War,1315,1351,Civil war,1873.5,Asia
Bolivia-Peru War,1300,1300,Interstate war,1841,Americas
Battle of Lake Khasan,1243,1243,Interstate war,1938,Asia
Operation Polo,1201,1242,Interstate war,1948,Asia
Anglo-Persian War,1200,2000,Interstate war,1856.5,North Africa and Middle East
Black September War of 1970,1200,1350,Civil war,1970,North Africa and Middle East
Suez Crisis,1198,3216,Interstate war,1956,North Africa and Middle East
