Entity,Code,Year,Military expenditure (constant US$),World regions according to OWID,time
United Kingdom,GBR,1999,48488520000,Europe,2023
United Kingdom,GBR,2000,56042920000,Europe,2023
United Kingdom,GBR,2001,50047398000,Europe,2023
United Kingdom,GBR,2002,54620434000,Europe,2023
United Kingdom,GBR,2003,61368087000,Europe,2023
United Kingdom,GBR,2004,73950855000,Europe,2023
United Kingdom,GBR,2005,72698040000,Europe,2023
United Kingdom,GBR,2006,78144184000,Europe,2023
United Kingdom,GBR,2007,82640850000,Europe,2023
United Kingdom,GBR,2008,75752580000,Europe,2023
United Kingdom,GBR,2009,74432370000,Europe,2023
United Kingdom,GBR,2010,70874530000,Europe,2023
United Kingdom,GBR,2011,73042780000,Europe,2023
United Kingdom,GBR,2012,70401500000,Europe,2023
United Kingdom,GBR,2013,70922480000,Europe,2023
United Kingdom,GBR,2014,72471020000,Europe,2023
United Kingdom,GBR,2015,71107770000,Europe,2023
United Kingdom,GBR,2016,65212650000,Europe,2023
United Kingdom,GBR,2017,66834846000,Europe,2023
United Kingdom,GBR,2018,70318570000,Europe,2023
United Kingdom,GBR,2019,75708460000,Europe,2023
United Kingdom,GBR,2020,77942850000,Europe,2023
United Kingdom,GBR,2021,76142130000,Europe,2023
United Kingdom,GBR,2022,79753716000,Europe,2023
United Kingdom,GBR,2023,83607310000,Europe,2023
United States,USA,1979,375834600000,North America,2023
United States,USA,1980,387622140000,North America,2023
United States,USA,1981,421359580000,North America,2023
United States,USA,1982,480678200000,North America,2023
United States,USA,1983,528044000000,North America,2023
United States,USA,1984,546422750000,North America,2023
United States,USA,1985,589624000000,North America,2023
United States,USA,1986,629948150000,North America,2023
United States,USA,1987,619553900000,North America,2023
United States,USA,1988,603671200000,North America,2023
United States,USA,1989,600137860000,North America,2023
United States,USA,1990,588738130000,North America,2023
United States,USA,1991,446872880000,North America,2023
United States,USA,1992,541028800000,North America,2023
United States,USA,1993,522242500000,North America,2023
United States,USA,1994,520819800000,North America,2023
United States,USA,1995,525353120000,North America,2023
United States,USA,1996,475155820000,North America,2023
United States,USA,1997,466827120000,North America,2023
United States,USA,1998,472213420000,North America,2023
United States,USA,1999,389020320000,North America,2023
United States,USA,2000,454934130000,North America,2023
United States,USA,2001,438260800000,North America,2023
United States,USA,2002,520480230000,North America,2023
United States,USA,2003,542689500000,North America,2023
United States,USA,2004,672949200000,North America,2023
United States,USA,2005,679618500000,North America,2023
United States,USA,2006,728809730000,North America,2023
United States,USA,2007,766875100000,North America,2023
United States,USA,2008,825639960000,North America,2023
United States,USA,2009,815314300000,North America,2023
United States,USA,2010,837375400000,North America,2023
United States,USA,2011,854096300000,North America,2023
United States,USA,2012,778160900000,North America,2023
United States,USA,2013,747298000000,North America,2023
United States,USA,2014,699001400000,North America,2023
United States,USA,2015,724387900000,North America,2023
United States,USA,2016,733788640000,North America,2023
United States,USA,2017,781726840000,North America,2023
United States,USA,2018,793862900000,North America,2023
United States,USA,2019,892669130000,North America,2023
United States,USA,2020,976380200000,North America,2023
United States,USA,2021,1033345600000,North America,2023
United States,USA,2022,1024366300000,North America,2023
United States,USA,2023,1092460600000,North America,2023
