who,TEAGE,category,n,N,p,X,Y,whofct
Alone,47,Alone,779,2231,0.34917077543702374,0.7260841836734694,100,Alone
Alone,47,Family,0,0,0,0.7260841836734694,100,Alone
Alone,47,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,47,Work,0,0,0,0.7260841836734694,100,Alone
Alone,48,Alone,1118,2676,0.41778774289985054,0.7260841836734694,100,Alone
Alone,48,Family,0,0,0,0.7260841836734694,100,Alone
Alone,48,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,48,Work,0,0,0,0.7260841836734694,100,Alone
Alone,49,Alone,885,2150,0.4116279069767442,0.7260841836734694,100,Alone
Alone,49,Family,0,0,0,0.7260841836734694,100,Alone
Alone,49,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,49,Work,0,0,0,0.7260841836734694,100,Alone
Alone,50,Alone,917,2129,0.4307186472522311,0.7260841836734694,100,Alone
Alone,50,Family,0,0,0,0.7260841836734694,100,Alone
Alone,50,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,50,Work,0,0,0,0.7260841836734694,100,Alone
Alone,51,Alone,1104,2334,0.4730077120822622,0.7260841836734694,100,Alone
Alone,51,Family,0,0,0,0.7260841836734694,100,Alone
Alone,51,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,51,Work,0,0,0,0.7260841836734694,100,Alone
Alone,52,Alone,966,2227,0.4337674000898069,0.7260841836734694,100,Alone
Alone,52,Family,0,0,0,0.7260841836734694,100,Alone
Alone,52,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,52,Work,0,0,0,0.7260841836734694,100,Alone
Alone,53,Alone,1070,2401,0.44564764681382757,0.7260841836734694,100,Alone
Alone,53,Family,0,0,0,0.7260841836734694,100,Alone
Alone,53,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,53,Work,0,0,0,0.7260841836734694,100,Alone
Alone,54,Alone,1216,2352,0.5170068027210885,0.7260841836734694,100,Alone
Alone,54,Family,0,0,0,0.7260841836734694,100,Alone
Alone,54,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,54,Work,0,0,0,0.7260841836734694,100,Alone
Alone,55,Alone,1096,2100,0.5219047619047619,0.7260841836734694,100,Alone
Alone,55,Family,0,0,0,0.7260841836734694,100,Alone
Alone,55,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,55,Work,0,0,0,0.7260841836734694,100,Alone
Alone,56,Alone,1161,2246,0.5169189670525378,0.7260841836734694,100,Alone
Alone,56,Family,0,0,0,0.7260841836734694,100,Alone
Alone,56,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,56,Work,0,0,0,0.7260841836734694,100,Alone
Alone,57,Alone,1174,2135,0.5498829039812646,0.7260841836734694,100,Alone
Alone,57,Family,0,0,0,0.7260841836734694,100,Alone
Alone,57,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,57,Work,0,0,0,0.7260841836734694,100,Alone
Alone,58,Alone,1208,2363,0.5112145577655522,0.7260841836734694,100,Alone
Alone,58,Family,0,0,0,0.7260841836734694,100,Alone
Alone,58,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,58,Work,0,0,0,0.7260841836734694,100,Alone
Alone,59,Alone,1306,2369,0.5512874630645842,0.7260841836734694,100,Alone
Alone,59,Family,0,0,0,0.7260841836734694,100,Alone
Alone,59,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,59,Work,0,0,0,0.7260841836734694,100,Alone
Alone,60,Alone,1181,2191,0.5390232770424463,0.7260841836734694,100,Alone
Alone,60,Family,0,0,0,0.7260841836734694,100,Alone
Alone,60,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,60,Work,0,0,0,0.7260841836734694,100,Alone
Alone,61,Alone,1114,1927,0.5781006746237675,0.7260841836734694,100,Alone
Alone,61,Family,0,0,0,0.7260841836734694,100,Alone
Alone,61,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,61,Work,0,0,0,0.7260841836734694,100,Alone
