Year;Non-electoral autocracies;One-party autocracies;Multi-party autocracies without elected executive;Multi-party autocracy;Exclusive democracies;Male democracies;Electoral democracies;Polyarchies;Frec Total;Frec Non-electoral autocracies;Frec One-party autocracies;Frec Multi-party autocracies without elected executive;Frec Multi-party autocracy;Frec Exclusive democracies;Frec Male democracies;Frec Electoral democracies;Frec Polyarchies
1884;58;5;22;14;9;3;0;0;111;0,523;0,045;0,198;0,126;0,081;0,027;0;0
1885;63;8;21;12;9;3;0;0;116;0,543;0,069;0,181;0,103;0,078;0,026;0;0
1886;62;7;23;13;9;3;0;0;117;0,530;0,060;0,197;0,111;0,077;0,026;0;0
1887;63;5;23;15;9;3;0;0;118;0,534;0,042;0,195;0,127;0,076;0,025;0;0
1888;62;6;23;16;9;3;0;0;119;0,521;0,050;0,193;0,134;0,076;0,025;0;0
1889;66;5;23;15;10;3;0;0;122;0,541;0,041;0,189;0,123;0,082;0,025;0;0
1890;66;5;23;15;11;3;0;0;123;0,537;0,041;0,187;0,122;0,089;0,024;0;0
1891;67;7;23;14;11;3;0;0;125;0,536;0,056;0,184;0,112;0,088;0,024;0;0
1892;71;7;23;16;10;3;0;0;130;0,546;0,054;0,177;0,123;0,077;0,023;0;0
1893;74;7;23;16;10;2;0;1;133;0,556;0,053;0,173;0,120;0,075;0,015;0;0,008
1894;77;6;23;14;11;3;0;1;135;0,570;0,044;0,170;0,104;0,081;0,022;0;0,007
1895;80;6;22;15;11;3;0;1;138;0,580;0,043;0,159;0,109;0,080;0,022;0;0,007
1896;80;7;23;14;10;4;0;1;139;0,576;0,050;0,165;0,101;0,072;0,029;0;0,007
1897;80;7;23;14;10;4;0;1;139;0,576;0,050;0,165;0,101;0,072;0,029;0;0,007
1898;80;9;23;12;9;5;0;1;139;0,576;0,065;0,165;0,086;0,065;0,036;0;0,007
1899;81;10;24;11;9;5;0;1;141;0,574;0,071;0,170;0,078;0,064;0,035;0;0,007
1900;83;8;27;10;9;5;0;1;143;0,580;0,056;0,189;0,070;0,063;0,035;0;0,007
1901;80;10;26;11;10;4;0;2;143;0,559;0,070;0,182;0,077;0,070;0,028;0;0,014
1902;84;12;26;9;8;4;0;2;145;0,579;0,083;0,179;0,062;0,055;0,028;0;0,014
1903;85;13;25;8;10;4;0;2;147;0,578;0,088;0,170;0,054;0,068;0,027;0;0,014
1904;86;11;25;11;10;4;0;2;149;0,577;0,074;0,168;0,074;0,067;0,027;0;0,013
1905;84;11;27;11;10;4;0;2;149;0,564;0,074;0,181;0,074;0,067;0,027;0;0,013
1906;83;12;28;10;11;4;0;2;150;0,553;0,080;0,187;0,067;0,073;0,027;0;0,013
1907;81;12;28;11;12;4;0;2;150;0,540;0,080;0,187;0,073;0,080;0,027;0;0,013
1908;80;9;25;14;12;4;0;2;146;0,548;0,062;0,171;0,096;0,082;0,027;0;0,014
1909;81;8;26;13;11;5;0;2;146;0,555;0,055;0,178;0,089;0,075;0,034;0;0,014
1910;79;8;25;15;12;5;0;2;146;0,541;0,055;0,171;0,103;0,082;0,034;0;0,014
1911;80;8;27;14;12;5;0;2;148;0,541;0,054;0,182;0,095;0,081;0,034;0;0,014
1912;80;10;26;13;12;6;0;2;149;0,537;0,067;0,174;0,087;0,081;0,040;0;0,013
1913;79;12;26;13;12;5;1;2;150;0,527;0,080;0,173;0,087;0,080;0,033;0,007;0,013
1914;83;14;25;11;11;5;3;0;152;0,546;0,092;0,164;0,072;0,072;0,033;0,020;0
1915;85;13;23;12;9;4;4;0;150;0,567;0,087;0,153;0,080;0,060;0,027;0,027;0
1916;89;13;23;11;9;4;4;0;153;0,582;0,085;0,150;0,072;0,059;0,026;0,026;0
1917;89;11;25;12;8;5;4;0;154;0,578;0,071;0,162;0,078;0,052;0,032;0,026;0
1918;98;8;20;13;8;8;6;0;161;0,609;0,050;0,124;0,081;0,050;0,050;0,037;0
1919;94;8;19;11;7;11;8;4;162;0,580;0,049;0,117;0,068;0,043;0,068;0,049;0,025
