WKT,fid,id,pruid,pk,hydrouid,rank,name
"MULTIPOLYGON (((-114.033763946 50.9714744930001,-114.034230957 50.971747227,-114.034255388 50.9718108150001,-114.034236002 50.9718912810001,-114.034175084 50.971952678,-114.03406244 50.9719318410001,-114.033759824 50.9717622270001,-114.033600622 50.9715782910001,-114.033647871 50.9715075340001,-114.033763946 50.9714744930001)))",11,147243,"48",147243,"7865085",7,
"MULTIPOLYGON (((-114.030993889 50.8628450360001,-114.030574565 50.8628764860001,-114.030465012 50.8628107440001,-114.030454833 50.8627474950001,-114.030733602 50.8626106870001,-114.030736424 50.862565771,-114.030600792 50.8624633810001,-114.030148442 50.8624248660001,-114.029914042 50.862310957,-114.029966906 50.8621504020001,-114.030208208 50.861931666,-114.030507379 50.861921292,-114.030732114 50.8619629990001,-114.031271812 50.862192614,-114.031637823 50.8624717920001,-114.031577266 50.8627695640001,-114.03128024 50.8628211010001,-114.030993889 50.8628450360001)))",12,147313,"48",147313,"6864378",5,
"MULTIPOLYGON (((-114.141517213 50.9850110290001,-114.141461418 50.9849916700001,-114.14149321 50.9849384840001,-114.141608127 50.9849233090001,-114.141754822 50.984854924,-114.141714891 50.9848089930001,-114.14142547 50.9846489750001,-114.141372411 50.9845847270001,-114.141493427 50.9844707610001,-114.141650491 50.984465615,-114.141778007 50.9844777200001,-114.142072391 50.984556889,-114.142239284 50.98462392,-114.14283013 50.984980211,-114.142983342 50.9850379200001,-114.143336853 50.9850825500001,-114.143474745 50.9851578920001,-114.143597304 50.9852508430001,-114.143631709 50.9853865930001,-114.143594392 50.9855296000001,-114.143475635 50.985607658,-114.1432901 50.985612099,-114.143134115 50.9855992880001,-114.142687061 50.9854534170001,-114.14257543 50.9854147080001,-114.142438674 50.9853214220001,-114.141641404 50.985077028,-114.141517213 50.9850110290001)))",13,147378,"48",147378,"6598423",7,
"MULTIPOLYGON (((-114.176236449 51.0782679120001,-114.176317606 51.0783418190001,-114.176091158 51.078543219,-114.175945312 51.0785936680001,-114.175842755 51.0786361790001,-114.175293317 51.0787488070001,-114.175222019 51.0787470800001,-114.175110659 51.0786994210001,-114.175263113 51.0785412000001,-114.175515343 51.0783853880001,-114.175806524 51.0782934810001,-114.176236449 51.0782679120001)))",14,147379,"48",147379,"7838227",7,
"MULTIPOLYGON (((-114.053069258 50.879395441,-114.053372486 50.8795470250001,-114.053540006 50.8795962350001,-114.053767675 50.8795929980001,-114.054094208 50.8798261200001,-114.054011355 50.8802378070001,-114.053988688 50.8805970400001,-114.053956914 50.8806501950001,-114.053840494 50.8806922260001,-114.053727509 50.8806803850001,-114.053053989 50.8800876920001,-114.052717254 50.8800162140001,-114.052580387 50.8799317990001,-114.052613306 50.8798606600001,-114.052720057 50.879521546,-114.05285518 50.8794080150001,-114.053069258 50.879395441)))",15,147434,"48",147434,"7925836",7,
"MULTIPOLYGON (((-114.076454391 51.0275466730001,-114.076625316 51.027550959,-114.076666911 51.0275699890001,-114.076664062 51.027614891,-114.076587214 51.0277029150001,-114.075871964 51.0281887140001,-114.074388351 51.0288711460001,-114.073907591 51.029030004,-114.07351799 51.0291011890001,-114.073361327 51.029097257,-114.073193263 51.029048087,-114.073111797 51.0289830570001,-114.073159058 51.0289122930001,-114.073292892 51.028825703,-114.07387952 51.0285705410001,-114.074196126 51.028299637,-114.07467562 51.0279338710001,-114.075073667 51.0277279680001,-114.075290682 51.0276794380001,-114.076019252 51.0276616990001,-114.076163379 51.027638327,-114.076454391 51.0275466730001)))",16,147437,"48",147437,"6696898",7,
"MULTIPOLYGON (((-114.026893994 51.043052855,-114.027220491 51.0430791510001,-114.027611309 51.0432150350001,-114.027651166 51.04326102,-114.027535459 51.0432850650001,-114.027180495 51.043258021,-114.026885355 51.0431875460001,-114.026817007 51.043140845,-114.026819913 51.043095942,-114.026893994 51.043052855)))",17,147483,"48",147483,"7672946",7,
"MULTIPOLYGON (((-114.028260055 51.0426648710001,-114.028444108 51.0426875260001,-114.028512471 51.0427342510001,-114.028408134 51.042803565,-114.028079947 51.0428041970001,-114.027968823 51.0427563910001,-114.028117034 51.042670231,-114.028260055 51.0426648710001)))",18,147486,"48",147486,"6527897",7,
"MULTIPOLYGON (((-113.988751059 50.9251959890001,-113.988970526 50.9252893130001,-113.989123013 50.9254473120001,-113.989270478 50.9257493860001,-113.989264901 50.925884453,-113.989237619 50.9259031400001,-113.98915237 50.9259053130001,-113.98907959 50.9258801990001,-113.988870304 50.925723658,-113.988830371 50.9255447660001,-113.988724588 50.9254485310001,-113.988690391 50.92535947,-113.988681756 50.925224744,-113.988751059 50.9251959890001)))",19,147544,"48",147544,"6488656",7,
"MULTIPOLYGON EMPTY",20,147616,"48",147616,"7453149",6,
