WKT,id,b_travel_time,travel_time
"POLYGON ((-114.065400456574 51.1737287388562,-114.064163879564 51.1750778536344,-114.061686910273 51.1750791858509,-114.060446662481 51.1737314031616,-114.061683312016 51.1723823273357,-114.064160136824 51.1723809952467,-114.065400456574 51.1737287388562))",9399,116,89
"POLYGON ((-114.065411904175 51.1818193081953,-114.064175111257 51.1831684212949,-114.06169770838 51.1831697538941,-114.060457242978 51.1818219732661,-114.061694108455 51.1804728991301,-114.064171366781 51.1804715666585,-114.065411904175 51.1818193081953))",9396,125,79
"POLYGON ((-114.065408087718 51.1791224529993,-114.064171366781 51.1804715666585,-114.061694108455 51.1804728991301,-114.060453715601 51.179125117815,-114.061690509085 51.1777760431157,-114.064167622884 51.1777747107717,-114.065408087718 51.1791224529993))",9397,127,83
"POLYGON ((-114.065419538858 51.187213014836,-114.064182601947 51.1885621268167,-114.061704909901 51.1885634596712,-114.060464299369 51.1872156804173,-114.061701308862 51.1858666074078,-114.064178856313 51.185865274681,-114.065419538858 51.187213014836))",9394,125,82
"POLYGON ((-114.065415721221 51.1845161621408,-114.064178856313 51.185865274681,-114.061701308862 51.1858666074078,-114.060460770901 51.1845188274669,-114.06169770838 51.1831697538941,-114.064175111257 51.1831684212949,-114.065415721221 51.1845161621408))",9395,124,79
"POLYGON ((-114.065427175902 51.1926067164755,-114.064190094952 51.1939558273373,-114.061712113648 51.193957160447,-114.060471357942 51.1926093825673,-114.061708511496 51.1912603106842,-114.06418634816 51.1912589777021,-114.065427175902 51.1926067164755))",9392,130,92
"POLYGON ((-114.065423357085 51.1899098662809,-114.06418634816 51.1912589777021,-114.061708511496 51.1912603106842,-114.060467828383 51.1899125321175,-114.061704909901 51.1885634596712,-114.064182601947 51.1885621268167,-114.065423357085 51.1899098662809))",9393,128,88
"POLYGON ((-114.050214621197 50.8743770415635,-114.048985536402 50.8757260632675,-114.046524468523 50.8757270700933,-114.045292627479 50.874379055119,-114.046521783501 50.873030071967,-114.048982709347 50.8730290652374,-114.050214621197 50.8743770415635))",10062,131,73
"POLYGON ((-114.050211723348 50.8716800429567,-114.048982709347 50.8730290652374,-114.046521783501 50.873030071967,-114.045290013674 50.8716820563198,-114.046519098892 50.8703330725875,-114.048979882727 50.870332065954,-114.050211723348 50.8716800429567))",10063,132,77
"POLYGON ((-114.050220418231 50.8797710350173,-114.048991191817 50.881120055568,-114.046529839806 50.8811210625862,-114.045297856293 50.8797730489576,-114.046527153958 50.8784240669664,-114.048988363892 50.8784230600443,-114.050220418231 50.8797710350173))",10060,137,76
"POLYGON ((-114.050217519491 50.877074038917,-114.048988363892 50.8784230600443,-114.046527153958 50.8784240669664,-114.045295241685 50.8770760526649,-114.046524468523 50.8757270700933,-114.048985536402 50.8757260632675,-114.050217519491 50.877074038917))",10061,135,73
"POLYGON ((-114.050226217048 50.8851650234583,-114.04899684897 50.8865140428558,-114.04653521274 50.8865150500664,-114.045303086716 50.8851670377835,-114.046532526066 50.8838180569529,-114.048994020176 50.8838170498384,-114.050226217048 50.8851650234583))",10058,133,75
"POLYGON ((-114.050223317417 50.8824680298644,-114.048994020176 50.8838170498384,-114.046532526066 50.8838180569529,-114.045300471304 50.8824700439971,-114.046529839806 50.8811210625862,-114.048991191817 50.881120055568,-114.050223317417 50.8824680298644))",10059,135,77
"POLYGON ((-114.050232017648 50.8905590068867,-114.049002507863 50.891908025131,-114.046540587326 50.8919090325342,-114.045308318747 50.8905610215968,-114.046537899826 50.8892120419269,-114.048999678199 50.8892110346199,-114.050232017648 50.8905590068867))",10056,134,91
"POLYGON ((-114.050229117125 50.8878620157991,-114.048999678199 50.8892110346199,-114.046537899826 50.8892120419269,-114.04530570253 50.8878640303167,-114.04653521274 50.8865150500664,-114.04899684897 50.8865140428558,-114.050229117125 50.8878620157991))",10057,133,77
"POLYGON ((-114.050237820033 50.8959529853027,-114.049008168496 50.8973020023939,-114.046545963566 50.8973030099896,-114.045313552387 50.8959550003978,-114.04654327524 50.8946060218884,-114.049005337962 50.894605014389,-114.050237820033 50.8959529853027))",10054,108,64
"POLYGON ((-114.050234918617 50.8932559967212,-114.049005337962 50.894605014389,-114.04654327524 50.8946060218884,-114.045310935366 50.8932580116239,-114.046540587326 50.8919090325342,-114.049002507863 50.891908025131,-114.050234918617 50.8932559967212))",10055,110,67
"POLYGON ((-114.050243624202 50.9013469587064,-114.049013830871 50.9026959746446,-114.046551341459 50.9026969824329,-114.045318787637 50.9013489741867,-114.046548652306 50.8999999968378,-114.049010999466 50.8999989891458,-114.050243624202 50.9013469587064))",10052,105,62
"POLYGON ((-114.050240721894 50.8986499726311,-114.049010999466 50.8999989891458,-114.046548652306 50.8999999968378,-114.045316169811 50.8986519879188,-114.046545963566 50.8973030099896,-114.049008168496 50.8973020023939,-114.050240721894 50.8986499726311))",10053,107,63
"POLYGON ((-114.050249430157 50.9067409270982,-114.049019494988 50.9080899418835,-114.046556721007 50.9080909498644,-114.045324024498 50.9067429429637,-114.046554031026 50.9053939667751,-114.049016662712 50.9053929588905,-114.050249430157 50.9067409270982))",10050,102,55
